Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.176138967823864,-3.1448469658899E-05,0.0493286390275955,0,0,0,10.9843680862098,0.20845829467282,4.87417750529226E-07,-0.10345022007299,0.490313978152622,6.38246047221331E-06,0.332205011111699,0,0,0,0,0,0,package://licycle_urdf/meshes/base_link.STL,0.2,0.2,0.2,1,0,0,0,0,0,0,package://licycle_urdf/meshes/base_link.STL,,unmanned_bicycle-1/车架-1;车箱-1;腿安装座-1;jointbody-1;jointbody-2,Base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
steer_Link,-0.00772445023610646,-4.06347309618525E-06,0.170071187046308,0,0,0,2.90929469697915,0.166478585318794,7.54822820365753E-07,0.0137835240979315,0.133947479469498,-4.88072820408843E-06,0.0407575204178957,0,0,0,0,0,0,package://licycle_urdf/meshes/steer_Link.STL,0.2,0.2,0.2,1,0,0,0,0,0,0,package://licycle_urdf/meshes/steer_Link.STL,,unmanned_bicycle-1/车转把-1,坐标系1,基准轴1,s2b,continuous,0.376892705884582,0,0.0990761889907591,0,0,0,base_link,0.292371704722734,0,-0.956304755963036,,,,,,,,,,,,
front_tire_Link,0,-3.81827141817153E-18,-5.55111512312578E-17,0,0,0,4.78353640373171,0.0428888787906516,-2.50498726080438E-19,4.86674277655473E-19,0.0811844917144548,-3.1050453804399E-20,0.0428888787906516,0,0,0,0,0,0,package://licycle_urdf/meshes/front_tire_Link.STL,1,1,1,1,0,0,0,0,0,0,package://licycle_urdf/meshes/front_tire_Link.STL,,unmanned_bicycle-1/前轮橡胶胎-2;unmanned_bicycle-1/前轮轮毂-1,坐标系2,基准轴2,f2s,continuous,0.0730929261806841,0,-0.239076188990759,0,0,0,steer_Link,0,-1,0,,,,,,,,,,,,
back_tire_Link,-5.57219919092301E-18,2.11814811896801E-18,0,0,0,0,1.91948717391942,0.0332271150038883,4.78744467931346E-35,3.31486848494006E-34,0.0657402376013878,-6.77084746073638E-35,0.0332271150038883,0,0,0,0,0,0,package://licycle_urdf/meshes/back_tire_Link.STL,1,1,1,1,0,0,0,0,0,0,package://licycle_urdf/meshes/back_tire_Link.STL,,unmanned_bicycle-1/后轮胎-1,坐标系3,基准轴3,b2b,continuous,-0.42,0,-0.145,0,0,0,base_link,0,1,0,,,,,,,,,,,,
left_hip_Link,-0.00555726704767262,-0.000547462402759297,5.80805118455263E-06,0,0,0,0.12739428951831,5.65233888703112E-05,1.1659452511942E-06,-1.21711820339588E-07,0.000106228892353179,1.2250059749652E-08,5.83671063321151E-05,0,0,0,0,0,0,package://licycle_urdf/meshes/left_hip_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://licycle_urdf/meshes/left_hip_Link.STL,,hip-1,坐标系4,基准轴4,lh2b,continuous,-0.021500042783988,0.130249954372152,-0.0529999999999992,0,0,0,base_link,1,0,0,,,,,,,,,,,,
left_thigh_Link,0.00158568609737464,-0.0229276869821491,-0.00517798846697515,0,0,0,0.176621136443326,8.87397446616421E-05,-1.24463207633634E-06,-1.22400192355117E-07,0.000154391897662249,1.97467496848297E-06,7.99950599069212E-05,0,0,0,0,0,0,package://licycle_urdf/meshes/left_thigh_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://licycle_urdf/meshes/left_thigh_Link.STL,,thigh-2,坐标系5,基准轴5,lt2lh,continuous,0,0.0755000295197774,0,0,0,0,left_hip_Link,0,0.999999999999986,0,,,,,,,,,,,,
left_shank_Link,3.34476791940541E-05,8.25605241187577E-05,-0.0867812066867556,0,0,0,0.0466048885813971,4.72403697655759E-05,-2.50943965950341E-12,4.62860918951967E-08,4.93622627989445E-05,8.17858916219886E-12,8.85113470887143E-06,0,0,0,0,0,0,package://licycle_urdf/meshes/left_shank_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://licycle_urdf/meshes/left_shank_Link.STL,,shank-2,坐标系6,基准轴6,ls2lt,continuous,0,0,-0.211499999999996,0,0,0,left_thigh_Link,0,0.999999999999982,0,,,,,,,,,,,,
right_hip_Link,-0.00555726686360064,0.000547464277983689,-5.80712840014819E-06,0,0,0,0.127394289519485,5.65233881239222E-05,-1.16592847848169E-06,1.21712130521503E-07,0.000106228893139882,1.22502122316907E-08,5.8367106291581E-05,0,0,0,0,0,0,package://licycle_urdf/meshes/right_hip_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://licycle_urdf/meshes/right_hip_Link.STL,,hip-3,坐标系7,基准轴7,rh2b,continuous,-0.0215000428683278,-0.130249986593791,-0.0529999999999996,0,0,0,base_link,1,0,0,,,,,,,,,,,,
right_thigh_Link,-0.00158568609737475,0.0229276869821492,-0.0051779884669752,0,0,0,0.176621136443325,8.87397446616421E-05,-1.24463207633631E-06,1.2240019235508E-07,0.000154391897662249,-1.97467496848301E-06,7.99950599069213E-05,0,0,0,0,0,0,package://licycle_urdf/meshes/right_thigh_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://licycle_urdf/meshes/right_thigh_Link.STL,,thigh-1,坐标系8,基准轴8,rt2rh,continuous,0,-0.0755000295197776,0,0,0,0,right_hip_Link,0,-0.999999999999986,0,,,,,,,,,,,,
right_shank_Link,-3.3448E-05,-8.2561E-05,-0.086781,0,0,0,0.046605,4.724E-05,-2.5094E-12,-4.6286E-08,4.9362E-05,-8.1782E-12,8.8511E-06,0,0,0,0,0,0,package://licycle_urdf/meshes/right_shank_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://licycle_urdf/meshes/right_shank_Link.STL,,shank-1,坐标系9,基准轴9,rs2rt,continuous,0,0,-0.211499999999996,0,0,0,right_thigh_Link,0,0.999999999999982,0,,,,,,,,,,,,
