Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.17667,1.3393E-06,0.049412,0,0,0,10.984,0.20845,-1.3056E-06,-0.10336,0.49031,1.072E-06,0.33222,0,0,0,0,0,0,package://licycle/meshes/base_link.STL,0.2,0.2,0.2,1,0,0,0,0,0,0,package://licycle/meshes/base_link.STL,,车箱-1;unmanned_bicycle-1/车架-1;legs-1/腿安装座-1;legs-1/jointbody-1;legs-1/jointbody-3,Base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
steer_Link,-0.0077245,-4.0635E-06,0.17007,0,0,0,2.9093,0.16648,7.5482E-07,0.013784,0.13395,-4.8807E-06,0.040758,0,0,0,0,0,0,package://licycle/meshes/steer_Link.STL,0.2,0.2,0.2,1,0,0,0,0,0,0,package://licycle/meshes/steer_Link.STL,,unmanned_bicycle-1/车转把-1,坐标系1,基准轴1,steer2base,continuous,0.37689,0,0.099076,0,0,0,base_link,0.29237,0,-0.9563,,,,,,,,,,,,
front_tire_Link,-1.1102E-16,-3.4641E-18,-2.7756E-17,0,0,0,4.7835,0.042889,-2.505E-19,4.8667E-19,0.081184,-3.105E-20,0.042889,0,0,0,0,0,0,package://licycle/meshes/front_tire_Link.STL,1,1,1,1,0,0,0,0,0,0,package://licycle/meshes/front_tire_Link.STL,,unmanned_bicycle-1/前轮橡胶胎-2;unmanned_bicycle-1/前轮轮毂-1,坐标系2,基准轴2,ft2steer,continuous,0.0730929261806841,0,-0.239076188990759,0,0,0,steer_Link,0,-1,0,,,,,,,,,,,,
back_tire_Link,-5.5722E-18,2.1181E-18,0,0,0,0,1.9195,0.033227,3.146E-35,3.3149E-34,0.06574,0,0.033227,0,0,0,0,0,0,package://licycle/meshes/back_tire_Link.STL,1,1,1,1,0,0,0,0,0,0,package://licycle/meshes/back_tire_Link.STL,,unmanned_bicycle-1/后轮胎-1,坐标系3,基准轴3,bt2base,continuous,-0.42,0,-0.145,0,0,0,base_link,0,1,0,,,,,,,,,,,,
left_hip_Link,-0.0055366,-0.00054746,-0.00047856,0,0,0,0.12739,5.6559E-05,1.1604E-06,-2.7994E-07,0.00010623,1.1382E-07,5.8332E-05,0,0,0,0,0,0,package://licycle/meshes/left_hip_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://licycle/meshes/left_hip_Link.STL,,legs-1/hip-1,坐标系4,基准轴4,lh2base,continuous,-0.02599,0.13025,-0.044158,0,0,0,base_link,0.99619,0,0.087156,,,,,,,,,,,,
left_thigh_Link,0.0020309,-0.022928,-0.0050201,0,0,0,0.17662,8.8695E-05,-1.412E-06,6.3871E-07,0.00015439,1.8587E-06,8.004E-05,0,0,0,0,0,0,package://licycle/meshes/left_thigh_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://licycle/meshes/left_thigh_Link.STL,,legs-1/thigh-1,坐标系5,基准轴5,lt2lh,continuous,0,0.0755000295197773,0,0,0,0,left_hip_Link,0,0.999999999999975,0,,,,,,,,,,,,
left_shank_Link,0.007508,-0.00011487,-0.0862,0,0,0,0.046742,4.6957E-05,-4.2485E-12,3.2875E-06,4.9363E-05,6.2837E-12,9.1352E-06,0,0,0,0,0,0,package://licycle/meshes/left_shank_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://licycle/meshes/left_shank_Link.STL,,legs-1/shank-1,坐标系6,基准轴6,ls2lt,continuous,0.0184334391676658,0,-0.210695173786874,0,0,0,left_thigh_Link,0,0.999999999999975,0,,,,,,,,,,,,
right_hip_Link,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://licycle/meshes/right_hip_Link.STL,1,1,1,1,0,0,0,0,0,0,package://licycle/meshes/right_hip_Link.STL,,legs-1/hip-3,坐标系7,基准轴7,rh2base,continuous,-0.0259902129417648,-0.130249964154169,-0.0441582168729666,0,0,0,base_link,0.996194698091746,0,0.087155742747658,,,,,,,,,,,,
right_thigh_Link,-0.0011284,0.022928,-0.0052965,0,0,0,0.17662,8.8652E-05,-1.0678E-06,8.7979E-07,0.00015439,-2.0756E-06,8.0083E-05,0,0,0,0,0,0,package://licycle/meshes/right_thigh_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://licycle/meshes/right_thigh_Link.STL,,legs-1/thigh-3,坐标系8,基准轴8,rt2rh,continuous,0,-0.075500029519776,0,0,0,0,right_hip_Link,0,-0.99999999999995,0,,,,,,,,,,,,
right_shank_Link,0.0075745,0.00011487,-0.086194,0,0,0,0.046742,4.6941E-05,-1.3488E-12,3.3787E-06,4.9363E-05,-7.5384E-12,9.1513E-06,0,0,0,0,0,0,package://licycle/meshes/right_shank_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://licycle/meshes/right_shank_Link.STL,,legs-1/shank-3,坐标系9,基准轴9,rs2rt,continuous,0.0184334391643117,0,-0.210695173787168,0,0,0,right_thigh_Link,0,-0.99999999999995,0,,,,,,,,,,,,
